time,sst,sst_rolling_12m
1980-01-16 12:00:00,13.666665,
1980-02-15 12:00:00,11.692881,
1980-03-16 12:00:00,11.085245,
1980-04-16 00:00:00,13.378984,
1980-05-16 12:00:00,18.415215,
1980-06-16 00:00:00,22.789043,
1980-07-16 12:00:00,25.10052,18.32966
1980-08-16 12:00:00,25.988592,17.96033
1980-09-16 00:00:00,24.385796,17.720785
1980-10-16 12:00:00,22.52684,17.526327
1980-11-16 00:00:00,17.880465,17.452162
1980-12-16 12:00:00,13.045704,17.435911
1981-01-16 12:00:00,9.234665,17.414785
1981-02-15 00:00:00,8.81838,17.559912
1981-03-16 12:00:00,8.751745,17.65983
1981-04-16 00:00:00,12.488985,17.809328
1981-05-16 12:00:00,18.220215,17.747286
1981-06-16 00:00:00,22.535542,17.663078
1981-07-16 12:00:00,26.84202,17.61783
1981-08-16 12:00:00,27.187592,17.778036
1981-09-16 00:00:00,26.179794,17.785995
1981-10-16 12:00:00,21.782341,17.868204
1981-11-16 00:00:00,16.869965,17.850164
1981-12-16 12:00:00,12.502704,17.82083
1982-01-16 12:00:00,11.157165,17.856705
1982-02-15 00:00:00,8.913881,17.845663
1982-03-16 12:00:00,9.738245,17.89916
1982-04-16 00:00:00,12.272486,18.016203
1982-05-16 12:00:00,17.868214,18.212078
1982-06-16 00:00:00,22.966042,18.490995
1982-07-16 12:00:00,26.70952,18.78987
1982-08-16 12:00:00,27.829592,18.97587
1982-09-16 00:00:00,27.584293,19.15891
1982-10-16 12:00:00,24.13284,19.31283
1982-11-16 00:00:00,20.216965,19.443995
1982-12-16 12:00:00,16.089205,19.471954
1983-01-16 12:00:00,13.389165,19.47237
1983-02-15 00:00:00,11.11038,19.447954
1983-03-16 12:00:00,11.585245,19.477621
1983-04-16 00:00:00,13.846485,19.29908
1983-05-16 12:00:00,18.203714,19.212622
1983-06-16 00:00:00,22.971043,19.168203
1983-07-16 12:00:00,26.41652,19.113995
1983-08-16 12:00:00,28.185593,18.936037
1983-09-16 00:00:00,25.441795,18.737663
1983-10-16 12:00:00,23.09534,18.633245
1983-11-16 00:00:00,19.683966,18.580412
1983-12-16 12:00:00,15.438704,18.518122
1984-01-16 12:00:00,11.253665,18.417496
1984-02-15 12:00:00,8.729881,18.39608
1984-03-16 12:00:00,10.332245,18.308996
1984-04-16 00:00:00,13.212484,18.32687
1984-05-16 12:00:00,17.456215,18.36437
1984-06-16 00:00:00,21.763542,18.446579
1984-07-16 12:00:00,26.15952,18.494453
1984-08-16 12:00:00,27.140593,18.535036
1984-09-16 00:00:00,25.656296,18.610289
1984-10-16 12:00:00,23.545338,18.60233
1984-11-16 00:00:00,20.670465,18.550245
1984-12-16 12:00:00,16.013205,18.555162
1985-01-16 12:00:00,11.7406645,18.586786
1985-02-15 00:00:00,9.632881,18.597872
1985-03-16 12:00:00,10.236745,18.592121
1985-04-16 00:00:00,12.587484,18.58208
1985-05-16 12:00:00,17.515215,18.564287
1985-06-16 00:00:00,22.143044,18.482496
1985-07-16 12:00:00,26.29252,18.427414
1985-08-16 12:00:00,27.071592,18.502703
1985-09-16 00:00:00,25.535793,18.651329
1985-10-16 12:00:00,23.33184,18.74433
1985-11-16 00:00:00,19.688965,18.882662
1985-12-16 12:00:00,15.352203,19.079039
1986-01-16 12:00:00,12.644165,19.27208
1986-02-15 00:00:00,11.416382,19.377245
1986-03-16 12:00:00,11.352745,19.52579
1986-04-16 00:00:00,14.247485,19.663914
1986-05-16 12:00:00,19.871714,19.743288
1986-06-16 00:00:00,24.459541,19.783243
